id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
1	ENSG00000000003.10	1828.16540918608	1910.1004595178	1746.23035885436	0.914208648112254	-0.129404628461659	0.144505525522368	0.817039051986775
2	ENSG00000000419.8	1672.81459883518	1640.13202792217	1705.49716974819	1.03985358539021	0.0563804067300309	0.48155146753543	1
3	ENSG00000000457.9	160.473351044161	177.091194535305	143.855507553017	0.81232445198927	-0.299872022915234	0.110159247312351	0.718100390141539
4	ENSG00000000460.12	277.306439975095	255.085501907666	299.527378042524	1.17422344979427	0.231706973384352	0.117205505179016	0.7368147505131
5	ENSG00000000971.11	1.24897902531453	1.51590107344046	0.982056977188602	0.64783711443633	-0.626296972726129	0.983149138442856	1
6	ENSG00000001036.9	2874.96412213934	2858.73983102128	2891.18841325741	1.01135065943533	0.0162833008169657	0.824345500446765	1
7	ENSG00000001084.6	1374.23895189065	1511.90977344972	1236.56813033159	0.817884871205054	-0.29003031703958	0.000529585526651228	0.0205495937485632
8	ENSG00000001167.10	1066.66118233821	1080.60163602457	1052.72072865186	0.974198718155495	-0.0377120099967529	0.681087414532158	1
9	ENSG00000001460.13	100.486045103534	101.290139101402	99.6819511056658	0.984122955995483	-0.0230895182221667	0.945972171975876	1
10	ENSG00000001461.12	316.167048284392	336.734946435015	295.599150133769	0.877839242001025	-0.187971330528446	0.179052794947529	0.897051658644539
11	ENSG00000001497.12	707.470025638454	677.472283986676	737.467767290231	1.08855784173266	0.122418068769825	0.232537777974901	1
12	ENSG00000001561.6	9.25043687000624	11.1386143321207	7.3622594078918	0.660967261130595	-0.597349280604111	0.488512193930305	1
13	ENSG00000001617.7	471.370769684637	457.953864680676	484.787674688597	1.05859500722116	0.0821507547454838	0.615698782612056	1
14	ENSG00000001629.5	1188.11041160153	1234.24695478385	1141.97386841921	0.925239364774612	-0.112101447420616	0.199177265202425	0.942537056509006
15	ENSG00000001630.11	4970.49754790752	5009.84625062327	4931.14884519177	0.984291452971894	-0.0228425278000691	0.728365222489471	1
16	ENSG00000001631.10	704.017400860099	742.764061858442	665.270739861755	0.895668993727572	-0.158962431061703	0.122025988868108	0.753293991936517
17	ENSG00000002016.12	244.526349661196	245.984093705144	243.068605617247	0.9881476560375	-0.0172014592347089	0.923352902097179	1
18	ENSG00000002079.8	13.7352328811851	14.7037250589183	12.7667407034518	0.868265738939967	-0.20379143749786	0.806042837335658	1
19	ENSG00000002330.9	88.6246769589609	81.0141059954842	96.2352479224376	1.18788261303287	0.248392275563881	0.324546292340413	1
20	ENSG00000002549.8	1994.93439792505	2023.86675762306	1966.00203822704	0.971408829569401	-0.0418494951655302	0.58898394999231	1
21	ENSG00000002586.13	2615.23714117117	2696.96369302924	2533.51058931311	0.939393658083497	-0.0901982410003839	0.212346490402775	0.968924024996356
22	ENSG00000002746.10	1.75227879583493	2.52250061448125	0.982056977188602	0.389318825752025	-1.36097598610658	0.621919519190549	1
23	ENSG00000002822.11	354.228604824016	323.972399315627	384.484810332406	1.18678261217501	0.247055694828824	0.0635885401595137	0.536686306644458
24	ENSG00000002834.13	7062.73739064585	7513.22813130242	6612.24664998927	0.880080643690375	-0.184292367817448	0.00391532219148437	0.0878520311644141
25	ENSG00000002919.10	272.136072569814	267.344749256534	276.927395883095	1.03584378093533	0.0508064417658442	0.742260540074229	1
26	ENSG00000003056.3	2023.74125155727	2086.70120603368	1960.78129708087	0.939655994548373	-0.0897954080908326	0.241111946204368	1
27	ENSG00000003096.9	20.2455999744561	24.2904277463229	16.2007722025892	0.666961173832835	-0.58432531541032	0.276134279261648	1
28	ENSG00000003137.4	10.9937130230223	13.6431096609641	8.3443163850804	0.611613964296958	-0.709306748371801	0.347864232738529	1
29	ENSG00000003147.13	2.49323933009429	2.53450413823979	2.45197452194879	0.967437568932786	-0.0477595311984678	1	1
30	ENSG00000003249.9	855.419740963471	909.76610216316	801.073379763782	0.880526739630176	-0.183561278739914	0.226944694986683	0.998400437184329
31	ENSG00000003393.10	1325.1659639543	1414.99928823602	1235.33263967258	0.873027039619633	-0.195901756816114	0.0204862566271201	0.269969431206579
32	ENSG00000003400.10	756.176502520265	797.396518121092	714.956486919438	0.896613504914836	-0.157441865265737	0.115938971198511	0.734524116238715
33	ENSG00000003402.15	2109.51257468192	2325.44189303686	1893.58325632697	0.81428964619455	-0.296386036513245	9.23226152797162e-05	0.00525358511020839
34	ENSG00000003436.10	14133.6414039588	16529.8708699724	11737.4119379451	0.710072814861909	-0.493961120616798	6.17017174325155e-16	7.56840121773617e-13
35	ENSG00000003509.11	580.362263487086	588.261339377763	572.46318759641	0.973144331058601	-0.039274301946424	0.727553023694136	1
36	ENSG00000003756.12	2979.73987668437	3308.96499451511	2650.51475885363	0.801010214144629	-0.32010745549701	6.5577550409961e-06	0.000662465136692943
37	ENSG00000003987.9	8.97896314142862	9.11941348815982	8.83851279469742	0.969197504441803	-0.0451374048464211	1	1
38	ENSG00000003989.12	6189.81102457941	6152.82959406498	6226.79245509384	1.01202095066962	0.0172391567459644	0.788868582328898	1
39	ENSG00000004059.6	941.48997221605	938.184109798256	944.795834633844	1.00704736390921	0.0101315384291154	0.920352573070883	1
40	ENSG00000004139.9	19.469275675846	20.7673293526802	18.1712219990119	0.874990793973552	-0.192660256866479	0.760954274963147	1
41	ENSG00000004142.7	1804.70417219628	1775.84460956098	1833.56373483157	1.03250235125294	0.0461450670075269	0.56063676071206	1
42	ENSG00000004399.8	2131.67006877887	2108.22560561049	2155.11453194725	1.0222409433848	0.0317352812631823	0.816399517771989	1
43	ENSG00000004455.12	2952.41043004561	2819.60333238561	3085.21752770561	1.09420268172802	0.129879996668426	0.0680053638780343	0.55817488069261
44	ENSG00000004468.8	0.747230054306188	1.00659954104079	0.487860567571582	0.484662020675222	-1.04494906113547	0.987329500379652	1
45	ENSG00000004478.5	1553.02126594899	1500.41105340484	1605.63147849314	1.07012773256337	0.0977830098388803	0.230476913200666	1
46	ENSG00000004487.11	2969.42078551311	2859.58607944625	3079.25549157998	1.07681860452204	0.106775241156541	0.133217074971093	0.78451005815758
47	ENSG00000004534.10	3872.2306590679	4064.59878697943	3679.86253115637	0.905344592175857	-0.143461079707794	0.0352220032141645	0.377141905414907
48	ENSG00000004660.10	51.0527965770561	47.5982629991222	54.5073301549901	1.14515376655647	0.195541330509153	0.567914648997054	1
49	ENSG00000004700.11	704.780406170335	707.028929924156	702.531882416513	0.993639514145305	-0.00920554841435168	0.933593844722673	1
50	ENSG00000004766.11	355.176316191242	357.819520939958	352.533111442526	0.985226045008542	-0.0214733280858098	0.879751226247408	1
51	ENSG00000004776.7	6.95204269599336	4.57771202971771	9.326373362269	2.03734383065684	1.02668947609371	0.293858483254912	1
52	ENSG00000004777.14	187.569907382457	161.494903411052	213.644911353862	1.32292045656743	0.403726319087765	0.0211451766512943	0.275406643812234
53	ENSG00000004779.5	1153.11434908204	1041.95388895365	1264.27480921044	1.21336925041861	0.279018655719744	0.00696778460808754	0.130817786022079
54	ENSG00000004799.7	11.9736173623651	12.1752226825578	11.7720120421723	0.966882688645761	-0.048587235977136	1	1
55	ENSG00000004809.9	3.97859607780329	3.54110367928058	4.41608847632599	1.24709380924514	0.318569992066059	0.905544310597001	1
56	ENSG00000004838.9	11.6857554696603	9.62271325868022	13.7487976806404	1.42878596826506	0.514789817309023	0.495120805257759	1
57	ENSG00000004864.9	1497.97794953609	1480.68633416448	1515.26956490769	1.02335621660392	0.0333084153419426	0.689568575166338	1
58	ENSG00000004866.14	434.618238055688	447.953040423602	421.283435687774	0.94046339163005	-0.0885563082273534	0.472769019234097	1
59	ENSG00000004897.7	2827.93464436529	2813.04243008321	2842.82685864737	1.01058797700512	0.0151949213852823	0.83314515261708	1
60	ENSG00000004939.9	0.491028488594301	0	0.982056977188602	Inf	Inf	0.715615424801809	1
