rowID	id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
1	ENSG00000000003.10	1.71565065406334	2.27352712951293	1.15777417861375	0.509241417700519	-0.973578333383453	0.933408337640243	1
2	ENSG00000000005.5	1.56085122445661	0.806154091685708	2.31554835722751	2.87233964462748	1.52222635314701	0.643280513714853	1
3	ENSG00000000419.8	883.72575638133	937.888757306991	829.562755455669	0.884500159525993	-0.177065691771133	0.404713453002977	1
4	ENSG00000000457.9	99.168310568584	107.818134765646	90.5184863715221	0.839547879104694	-0.252315491014864	0.510109170871939	1
5	ENSG00000000460.12	215.185598569346	212.784880226487	217.586316912205	1.02256474558064	0.0321921929674131	0.837143065950788	1
6	ENSG00000000938.8	1.17150752353883	0.351448665783122	1.99156638129454	5.66673479000636	2.50251768416688	0.657966090806834	1
7	ENSG00000000971.11	953.951573372409	1079.56724233032	828.335904414496	0.767285141615148	-0.382165277332926	0.0405383436266233	1
8	ENSG00000001036.9	638.270169733318	634.307727045531	642.232612421105	1.01249375506189	0.0179130096574888	0.912109679382186	1
9	ENSG00000001084.6	354.161442968933	380.716880016547	327.606005921318	0.860497716589502	-0.216756730941898	0.290159745248522	1
10	ENSG00000001167.10	536.859794536473	519.748610848427	553.97097822452	1.06584407665896	0.0919964003070959	0.67674097587919	1
11	ENSG00000001460.13	95.4564385949544	86.1135526648265	104.799324525082	1.21698990788343	0.283317204282624	0.357685896879856	1
12	ENSG00000001461.12	320.795092012821	306.777117090971	334.813066934671	1.09138866063269	0.126164959512239	0.548510244952254	1
13	ENSG00000001497.12	1197.6475778346	1140.11966960514	1255.17548606407	1.10091556134522	0.138703820491685	0.415239550551224	1
14	ENSG00000001561.6	0	0	0	NA	NA	NA	NA
15	ENSG00000001617.7	22.197439096319	20.7136928850495	23.6811853075885	1.14326235495559	0.193156510080232	0.900080752518939	1
16	ENSG00000001626.10	0	0	0	NA	NA	NA	NA
17	ENSG00000001629.5	741.153763827153	607.315271782464	874.992255871842	1.44075457431483	0.526824600207573	0.00411149867180415	0.375024648661149
18	ENSG00000001630.11	7840.80451056748	7287.6971524883	8393.91186864666	1.15179208095669	0.203880308060202	0.434612767149771	1
19	ENSG00000001631.10	1259.09031895107	1206.07185635028	1312.10878155185	1.08791924348724	0.121571468955399	0.502693300421096	1
20	ENSG00000002016.12	66.9178815873614	56.7007567198179	77.1350064549048	1.36038760181034	0.44401776290182	0.26145735975581	1
21	ENSG00000002079.8	1.08513518469673	2.17027036939346	0	0	-Inf	0.479122099193989	1
22	ENSG00000002330.9	10.9412159993967	13.3531708928739	8.52926110591946	0.638744248414525	-0.646689699555225	0.54541543437383	1
23	ENSG00000002549.8	453.291394350024	444.468388448182	462.114400251866	1.03970138768539	0.0561692318611666	0.825075552421457	1
24	ENSG00000002586.13	378.87602795472	354.572257230591	403.179798678848	1.13708783035624	0.185343694446114	0.412644512968497	1
25	ENSG00000002587.5	0	0	0	NA	NA	NA	NA
26	ENSG00000002726.15	0	0	0	NA	NA	NA	NA
27	ENSG00000002745.8	0	0	0	NA	NA	NA	NA
28	ENSG00000002746.10	1.59419121552151	0.702897331566244	2.48548509947678	3.53605709946067	1.8221415712349	0.642587108467568	1
29	ENSG00000002822.11	129.550648349915	125.888830273014	133.212466426816	1.05817542460216	0.0815788176449874	0.87412701073611	1
30	ENSG00000002834.13	2618.28365686109	2666.10743335753	2570.45988036466	0.964124644117431	-0.0527084216420727	0.733588331036549	1
31	ENSG00000002919.10	52.0885492789098	69.3112303025856	34.865868255234	0.503033463740628	-0.991273717984197	0.0190169394777365	0.790257712269079
32	ENSG00000002933.3	0	0	0	NA	NA	NA	NA
